,text,label
39,One Mantra to Become Super Cool in Stress & Anxiety - LordHanuman Motivational Story ,0
40,walked round the whole of notts today feeling tired,1
41,Another day of resting my back and to top things off I’m getting a cold yay to me unamused face disappointed face sick tired fedup,1
42,I've been obsessed with this special since it was released on I just pre ordered this bad boy! Just gotta get a new record player now rolling on the floor laughing BoBurnham Inside vinylrecords excited ,0
43,Wishing all of our staff with September Birthdays a very Happy Birthday! sunflower fallen leaf maple leaf sun birthday cake balloon party popper somethingtocelebrate september birthdays happy staff meadowbrookmcf ,0
44,Did you miss Darrell's live event about anxiety ? Check it out here MentalHealth stress ,1
45,MondayMotivation Who starts their day with meditation? Please share with us your favorite app(s)! selfcare workfromhome retail relax meditation marketing takeabreak work stress StressManagement ,0
46,This week I am looking at some of the reasons why some people say they are scared of therapy. ? I'm worried I will tell you things I don't want anyone else to know.? (cont) therapy mentalhealth wellbeing ,1
47,What a exhausting week but I'm still alive and my nose is regenerate step by step...breathing through my nose is coming back..can't recommend this surgery but it was necessary to breathe good again...happy ALIVE ,0
48,"Lisa Kelly, President & Founder of Workplace Wellness Centre of Excellence interviewed our Managing Director Kaur Lass a while ago. Find out how to reduce stress and prevent burnout MentalHealthMonth Stress Burnout",1
49,Belated grateful hugs to Morsara and others who joined me in last time's mental health discussion on imposter syndrome and shame. Wonderful story telling and comfy advice. Thank you for sharing space x MentalHealthMatters itsokaynottobeokay,0
50,GOING TO TOMORROW. AAAAAAAH. excited nervous firstconaftercovid fuckcovid vaccinated masker finally,0
51,Risk Is the Price We Pay For Opportunity risk opportunity luck preparation tryit love nature health fitness cool beauty life positivity landscape lessons beautiful happy ideas thoughts wellness mentalhealth workout photography ,0
52,This roadmap is ridiculous! Locking us up to our own thoughts even longer. Mental health is important too and there isn’t enough resources to combat this victoria lockdown DepressedAdam Depression Depressed Mentalhealth    MentalHealthMatters GetReal Sadness Stressed,1
53,Stress is so common yet it is the leading cause of illness. Most people are unaware of the biochemical changes that occur in the body when we are stressed. Read the blog at . FunctionalMedicine Health Covid19 Tired relax rest selfcare ,1
54,"No matter what you're going through, our team of crisis responders is here for you 24/7. Young people text TALK to 686868 and adults text WELLNESS to 741741. LetsTalk | MentalHealthMatters ",1
55,"When others doubt you it's easy to feel your confidence slipping, but has some ideas of ways to regain your confidence and thrive! SelfAwareness MentalHealth Doubt ",1
56,determination survival humanity mindfulness motivation mentalhealth life wellness Willpower is not some mythical force that we either have or don't have. Willpower is our decision to use higher-mind thinking instead of lazing around in the clutc…,1
57,"Never underestimate the power of conversation. When things are piling up, it can be an outlet that allows people to articulate their thoughts and where necessary ask for help. In this video, Dorset farmer Trevor talks about his mentalhealth and the importance of talking. ",1
58,Face? Off? - It's Like Looking In A Mirror Only… Happy HumpDay ElTechOArt SSP Art Photoshop PhotoshopEdit SueStorm TheInvisibleWoman TheInvisibleMan ElongatedMan VS wednesday happyhumpday love motivation Link ,0
59,"Hey all! Here's a post you might have missed! Read about....""How To Deal With Family That Have Medical Issues."" Family MedicalIssues MentalHealth",1
60,When Panic and Anxiety Come to Work MentalHealthAwareness MentalHealthMatters ,1
61,"I am so grateful for ""Bloody Celestial Karaoke Jam""! Thank you so much for never giving up on a musical episode! It is by far, my favorite episode in the series! Lucifer LuciferSeason5 Happy Smile ",0
62,jeonfinds because i am TIRED of being SINGLE and just wanna be in a HEALTHY AND STABLE RELATIONSHIP,1
63,"Starting from October 1st to October 31st, 2021 Rs 999/- per month Register now +91 7034 090 090 yoga meditation breath stress kerala soul mind happiness ",0
64,Today I'm discuss the building of Mental Health Ministries through relationships in the church. WeCanFixThis BringMeYourPain relationships mentalhealthmatters christiancounseling mentalhealthministries ,1
65,"Key Elements of Good Time Management ... Make a to-do list, then stick to it. rank your tasks, manage disturbance, Set aside time for your work, Keep track of your time. Have a Very Good Day grinning face grinning face ---- time timemanagement entrepreneur leaders mentalhealth selfcare ----",0
66, star-struck Excited to start sharing my jewelry and crystals with you all! smiling face with hearts Sneak peak at one of my first pieces to be released next week! handmade handmadejewelry crystals agate hempstring healing love naturalbeauty nature wonderful excited hippyvibes jewelry crystallove ,0
67,"in the beginnings was a bang created ungated OriginalSin dated +plated ThisFemaleIsNotYetRated trade mark eVe's tired she thru with you hell no u didn't throw her OutOfEden she walked out w her MF-FREEDOM these boots made4 LipsNLiberties trade mark "" copyright clili trade mark ",1
68,"You'll hear first-hand stories of men sharing their abortion wounds, lost fatherhood and unhealthy ways they tried to cope with pain, hurt and trauma from abortion. mentalawareness mentalhealth HelpingMenHeal MentalHealthMatters supportafterabortion ",1
69,Lily-of-the-valley on a red background. pretty lovely colour colourful cheerful Flowers flower floral nature naturelovers amazing unique vibrant VibrantColors artist Christmas artwork Impressionist Impressionism acrylic painting paintings ,1
70,Terry's Lunch' - - AduGindy Gindy lunch restaurant bistro table wine glasses fish ore boat lake water blue waves pink orange square acrylic painting bold bright colorful cheerful funny playful contemporaryart modernart art,1
71,Feeling overwhelmed about climate change? Check out these tips! climate stress anxiety ,1
72,"Do we really want to return to our old ways of working? The way we work has implications for our psychological well-being and social relationships within and beyond the workplace, as UL's explains mentalhealth MentalHealthMatters ",1
73,Ready to go soon! We are preparing packages to send out postbox ? ? ? ? ? WTDEP WestTorontoDiabetesEducationProgram LAMPCHC Toronto diabetes type2duabetes yyz mentalhealth mentalhealthwellbeing ,1
74,I CANT BELIEVE YOU CANT BBQ IN ANY PARKS ANYMORE. I SPENT THE WHOLE DAY DRIVING AROUND. THIS IS RIDICULOUS! longday hungry tired,1
75,GinettePT Any thoughts on the mental health of Liberal staffers who have been sexually assaulted by their Liberal MP bosses? Elxn44 mentalhealth MentalHealthAwareness,1
76,"Stress, medication, caffeine, alcohol and bluelight exposure all play their part in a bad night's sleep. In our latest article we explore the reasons why people can't sleep, what they can do about it and how they can start to sleep well. ",1
77,"A raw and gripping story, which also provides a path for people to overcome evils currently facing our society. memoirs imagination mentalhealth ",1
78,Stress is an ignorant the state. It believes that everything is an emergency. - Natalie Goldberg A thread of quotes on ‘Stress’… 1/6 quoteoftheday stress philosophy stress stressrelief stressmanagement,1
79,New Slow Living Series post Live your life with spirit Stress tension tensionbasedpain mindbody slowliving ,1
80,How to win at life what sports psychologists can teach us all Wellbeing MentalHealthMatters MentalHealthAwareness sportscoach,0
81,"The past 18 months haven’t been easy, so our friends at have shared some tips on how to deal with stress and improve our mental health as we all try to return to normal. COVID19 stress backhand index pointing right Read more in the latest issue of CABLEtalk here ",0
82,Take action to secure excellent mental wellness for your staff proactively. Do not wait for problems! Find out how to reduce stress and prevent burnout in Stress Burnout ProactiveMentalWellness MentalHealthAwarenessWeek,0
83,"At this point this, I give a history to the police more frequently than I give one to my PCP. What do I do? I go about my day and my life. Because as I said I’m Tired. I went into the hospital like any other work day, I saw my patients, I gave them the care they needed. 4/x",1
84,diversity & uniqueness - celebrating both with Faces SupportUs FosterAChildToExcelInSociety Bloggers Volunteer Donate Dogood Nonprofit Change Fundraising Socialgood Education NotForProfit GiveBack Volunteers Volunteering SelfCare ,0
85,"Stress can feel like a baseline condition for many of us – especially during a pandemic. But there are ways to help alleviate the very worst of it, whether through support, sleep or radical self-care burnout resilience mentalhealth health caregiving ",1
86,REVIEW . . . . . happiness happyhappy happyme happycustomer review reviews reviewtime Review reviewer CraftisticArt happy customerreview ,0
87,"GUILTY “This dark psych thriller is a cracking read! Mia & Lindy, when their worlds collided... that’s it. Surprises, shocking moments, dangerous secrets and a heart pounding thriller .” Amazon mentalhealth DomesticViolence FreeKindle ",1
88,How To Relieve Stress - 432Hz Solfeggio Frequency & 4Hz Binaural Frequency via anxiety friends meditation Mindfulness yoga sleep ASMR TheCenteroftheYouniverse quoteoftheday music health youtube FridayMotivation Video adult,1
89,Birth control and mental health-- what's the connection? Shared insights with PsychCentral about it-- so take a look! WomensHealth MentalHealth ,1
90,"Mental Health & Pain Pain leads to realisation, and realisation frees one from pain. Its a win-win cycle unless one resists the process and creates his own suffering as a consequence. -ForHumans wine glass Mentalhealth MentalHealthMatters MentalHealthAwareness",1
91,"Having an optimistic attitude helps us be happier, more successful, and healthier. Optimism can protect against depression even for people who are at risk for it. An optimistic outlook makes people more resistant to stress. Optimism may even help people live longer. midlife ",0
92,"7 TO MANY! Studies suggest we only have on average 3-5 close friends, Imagine you wake up and all of them are gone… Tag your mates below to let them know you’re there for them, you never know what a little recognition can do! mentalhealth suicideawareness menshealth ",1
93,Yoga in simple words By Dipali Gadvi intensifylife intensifyhumanity life regram love magazine instagood fashion beautiful art articles happy photography photography magazinewriter storywriter smile selfdevelopment business magazines magazinecover ,0
94,Thought For The day GarimaGroup thoughts yourself india indore mp loveyourself love life quotes writer instadaily sad poetry writersofinstagram photooftheday quoteoftheday lifestyle happy quote motivation inspirationalquotes viral followforfollowback ,0
95,"I love the brain me brain Fascinating, “get the science into the hands of the masses and they will make wise decisions” neurosequential regulate stress ",0
96,Are you able to enhance the electrical intensity in your Pituitary Gland? Do you feel a tingling sensation on your forehead? Can you concentrate stress on this area at will? You're not alone Neurology Electricity Perfection Frequency Universe Godliness Unite Prevail ,0
97,"3 years, 4 buses, 2 professionals, 1 hour long appointment and now a wait for a panel to review and respond. Feels really anticlimactic!!!! Home for hugs, burgers, donuts and some baking red heart red heart red heart red heart dakotasmum send mentalhealth Autism camhs forwardthinkingbrum tired fail",1
98,Sport can place high levels of stress on athletes. If unable to cope with the stress they may be vulnerable to developing burnout. In our FREE course you will get a better understanding of your own situation and the balance between stress and recovery ,1
99,"To all the people who are suffering with Anxiety & other mental traumas, you are not alone. And, I salute you for facing it & waking up to a new morning everyday while putting a smile for the people around you. You all are brave warriors! MentalHealthMatters",0
100,"Happy MotivationMonday sun from your friends at RecoveryCollegeLethbridge! Remember to listen to your body and take some time for yourself today, especially if you are feeling stressed! yql lethbridge mentalhealth peerlearning peersupport stress ",1
101,Happy Birthday Keanu Reeves,0
102,>>New Post!! 10 Proven Tips to Have a Better Recovery Sleep at Night<<< . . . . . . nurturetheselfmovement selfcare selfesteem MentalHealthMatters ketolifestyle keto MentalHealthAwareness Mentalhealth healingjourney selfdiscover sleep,0
103,"The song home by is finally dropping on Monday, 5th Sept.. excited soundsofthika ",0
104,13 Effective Home Remedies To Lighten Sunburn Skin tagfire lifestyle health life LOL Yoga food selfies dental love breadth asthma RT swag stress anxiety happy smile style fun hot funny RT beauty,0
105,This is incredible and everyone should read it. mentalhealthmatters becomingamum ,0
106,BREAKING HOLLYWOOD NEWS Excited Music NormaJeanAngel SundayBrunchOceanMixx added to Thai Licensing Portal serving community of Film Television Studios Public Relations Firms in Thailand Music Licensing Professionals and approved Licensing Partners ONLY ,0
107,"Hopefully, my willingness to share my own experiences with Domestic Abuse & Mental Health will encourage others to be forthcoming with their own. MentalHealthMatters",1
108,A special message to anyone who is struggling today. MentalHealthMatters ,1
109,Stressed out? Read on the healthy ways to cope with Stress and a lot more trusted health information. Free health information for all. FreeHealthRevolution Please share with your friends.. Retweet domains Freddie Mercury Mary Kate Olsen's …,0
110,The long awaited season is here as the famous apples of our Kashmir has ripened and its about time for the apple feast to begin. Excited RedForKashmir GreenForKashmir KashmirLovesGreen KashmirBleedsGreen MoujKasheer ,0
111,Friday sees more smiles than any other day of the week. Enjoy your Furahi day Mintvilla Family. TGIF friday weekend love fridayvibes fridaymood friyay happy ,0
112,And there’s still a travel ban because…? LoveIsNotTourism liftthetravelban mentalhealthmatters ,1
113,"basingstoke Here are our pics camera of AHogLotOfSport soccer ball woman mountain biking rugby football HantsHog artist palette pig who we met on our GoWalkMrPB paw prints footprints red heart snail in The Walled Garden today, red heart We loved this, thank you x Stay safe red heart MentalHealthMatters blue heart ",0
114,Don’t Remind yourself how Tired & Weak YOU Feel stay Positive cause every Rep every Step really Brings YOU Closer to your Goals after all…. OffTheClock money-mouth face ,1
115,These guys make me happy kids livelife getoutside workforit flexed biceps yyc motocrosslife ,0
116,"According to , close to 800,000 people die by suicide every year, and for each death there are more than 20 suicide attempts. As we strive to improve MentalHealth in communities where we work SuicidePreventionMonth SuicidePreveniton",1
117,Yes Grogu (aka Baby Yoda) tonight is the premiere of my book trailer for Concealed! movie camera blue book excited preorderConcealed booktrailer ,0
118,"AD | Self-Esteem Workbook An Amazing Array Of Worksheets & Journal Ideas It's becoming harder and harder to maintain a healthy level of self-esteem, but with the self-esteem workbook, that could change MentalHealth Wellbeing Wellness SelfCare Blog ",0
119,"ATTENTION POETS - 6th-10th Sept we will run a MentalHealthMatters week! Shine a light on someone's dark day, get your positive poems over to theorganicpoet.com. Supporting mentalhealth because mentalhealthmatters. poetrycommunity poesia writers SUBMISSIONS OPEN!",1
120,Good morning everyone. The little bird with a loud voice musical notes I share a Wren with you on this Monday morning. Wishing you all a great day. TwitterNatureCommunity NaturePhotography nature natureishealing MentalHealthMatters ,0
121,"Not making light of covid, I follow the rules and double vaxxed but if Ur response to one health crisis creates a greater, more traumatic and more tragic health crisis surely u change Ur approach? How could they ignore it? mentalhealth lockdownextension",1
122,"FarmVille 2 Get excited for FarmVille2OnWeb's 9th Anniversary, Farmers! Just Follow this Step right arrow 1. Re-Tweet this! right arrow 2. Comment “ Done ” left arrow curving right 3. Collect here =» Don’t miss your Free Gifts/Chips 9th anniversary excited ... ",0
123,Edward733 happy day Edward,0
124,"DanMulhall please will you help support LoveIsNotTourism liftthetravelban please? We are binational families separated from loved ones for over 15mths. Double vaccinated, will to continuously test and JUST NEED TO HOLD MY DAD. FAMILYMATTERS MentalHealth",1
125,"Be a marigold that spreads kindness, joy, and love to others. Happy to be apart of a community of marigolds that support and care for each other. blossom excited bts NHPGCP",0
126,StuHaycock You are looking really good and well Stu….you have reached that light at the end of the tunnel crossed fingers light skin tone mentalhealth MentalHealthMatters,0
127,"ScottyWeitzman As a guy in the mentalhealth space, I would offer a friendly amendment that we need more EVIDENCE-BASED and EVIDENCE-SHOWING mental health apps.",0
128,Aaaaand they’re back! SchoolDreams Ofsted Tired,1
129,This is how I know I’m thoroughly enjoying our annual leave… this morning I woke up & genuinely didn’t know what day it was! FridayVibes annualleave relaxation switchoff happy simplicity ,0
130,"Are you taking cere of yourself? No really, how are you doing mentalhealth courage selflove walkingaway ",1
131,Revitaa Pro isn’t just another boring “fat burner” offer with the same tired old recycled pitch. We are the ONLY all natural stress reliever and weight loss support offer on CB. fatburner fatburning stressrelief Stress stressmanagement supplements ,1
132,"Tired and Frustrated regarding Mums actions this morning. Not to mention, the NotSoGoodHabits that she has implemented with Bub already that we are now both attempting to amend…",1
133,You are facing far more distractions and process far more data than at any other point in history. Learn to use mindfulness to avoid cognitive overload. mindfulness stress mentalhealth wellness ,1
134,Me and my eye bags are LIVE! westcoasttime tired ,1
135,3 Simple Actions That Lower Your Stress Level backhand index pointing right Stress StressRelief StressReduction Happiness,1
136,"Kudos to our Staff Development Committee hugging face Check out the different ways staff members stay connected, even during a pandemic. mentalhealth selfcare teambuilding ",0
137,September is Suicide Prevention Month. Always remember that you matter folded hands medium-dark skin tone You are loved and you are worthy . SuicidePreventionMonth MentalHealthMatters ,1
138,Sleeping beauty sleeping face zzz crescent moon sleepingbeauty tired babyboy mybaba mumlife sleepyhead sleeping goodnight dreambig ,1
139,Please re-Tweet to raise awareness about how to encourage friends and family to look after their mentalhealth (image ) MentalHealthMatters caregiving ,1
140,Need help for your real estate transaction? Click below for help. tedtalksrealestate Ontario realestate realestateinvestor realtor realtorlife buyingandselling happy realestatefacts stthomasproud stthomas... ,0
141,I'm at war for peace within my own conscience. MentalMindGames MentalHealthMatters MentalHealthAwareness Mental War Peace TheWarWithin MentalWarGames,1
142,I feel like my mind is preparing me for a change that the people around me aren’t ready for. tired SomethingNew StartingOver,1
143,Can CBD And CBG Products Benefit Those With Substance Addiction Issues Or Those In Recovery? mypath2recovery mentalhealthmatters RecoveryisPossible,1
144,All of your fitness dreams comes true here only with help of wellness coach support and proper nutrition support fitness marathon registration started now interested person message me directly... onlinewellnesscoachvanitha healthyactivelifestyle happy ,0
145,"Guys, I am about to launch my NFT series ""The Green World"" super soon on excited newbeginning digitalartist nftart",0
146,I’m sorry I don’t care if you’re vegan vegetarian presbyterian or whatever other random miserable diet that has you eating fake versions of food. I respect your plight but I’m tired of hearing about it. I respect you enough to not go on about how much I enjoy real food,1
147,"Because we are so serious about play, that we have made it our business. 401play employers benefits HR vacation unplug burnout pandemic stress mentalhealth EmployeeExperience ",1
148,"This is something we all need to be aware of, burnout. Thanks to for sharing. stress Mentalhealth SGPRSA",1
149,Efficiency conserve your strength for the long haul automating business businessadvice businesscoach businessowner businessplanning coaching delegating delegation efficiency outsource stress wellbeing workstress ,0
150,"Conflict, confusion and clarity through art arttherapy emotions stress motivation life healingart mentalhealthmatters attitude onlinearttherapysession mindfulness anger hate fear anxiety depression distress ",1
151,Appreciated folded hands medium-dark skin tone palm tree palm tree winner tshirt wrongplacewrongtime lovetreez motivation smile promo family friends friend promotion happy gifts community givingback cool retweet outside repost summer summervibes love kids party celebrity celebration lifestyle ,0
152,Friday purple heart Have a good day! red heart . . kmplayer kmp best player happy friday holiday GoodDay September ,0
153,We can not wait to welcome our children-old and new back to school on Monday. It is going to be a fantastic year. excited ,0
154,"JustinTrudeau EMBARRASSING Australia Canada UK America teachers and government attacking children students in the name of fighting COVID19 No school, education, friends, family, no sports, food and drug addictions MentalHealthMatters Tokyo2020",1
155,"DictatorDan, most of your people are happy to abide by rules so long as they are reasonable. When rules get unreasonable, watch the people be unreasonable. , hang your head in shame, reflect then fix your god damn mess! MentalHealthMatters COVID19Vic",1
156,How I feel middle finger medium-light skin tone MacBook has died skull Don’t know why. Is this gonna be money with wings money with wings to fix? ohno stressed fu ,1
157,This is why I absolutely love watching this magnificent show can't wait till Sunday night BB23 LetsGo y'all Happy Selfie BigBrotherFan BigBrotherFamily SashaBanks SashaKrew LegitBoss MichelleRodrguez mrodfamily mrodlover BigBrother4Life Loyal smiling face with smiling eyes smiling face with heart-eyes blue heart purple heart ,0
158,Fatigue risk management How to adjust my daily routines to improve sleep health fitness HR hapiness mentalhealth mindfulness wellness productivity wellbeing workplace business success leadership safety ,1
159,goodmorning slightly smiling face happy friday grinning face cheers to the weekend!!! smiling face tune in radio or listen on AllHits Mellow947 KarrotsScarletNeil theawesomewakeupshow radiolife manilaradio fmradio morningradio morningradioshow newnormal covid19 ,0
160,"With back-to-school around the corner, we're ""rebooting"" our rbcdisruptors episode w/ Dr. of & Dr. Joanna Henderson of . Host explores how tech can and should play a role in youth mentalhealth treatment ",1
161,"Educated517 Quoted us $7,900 to replace the whole thing and not a penny of that is in the renovation budget stressed",1
162,You either have control or stress. The Amazing power we have is ... Our Power to Choose selfimprovement,0
163,"At its best, life is completely unpredictable. positivevibes love motivation inspiration life happiness selflove positivity quotes instagood believe loveyourself motivationalquotes lifestyle success instagram mindset happy goals yourself bhfyp inspiration ",1
164,"Crossroads is for families seeking help for their infant, toddler or child’s social, emotional and behavioral challenges. We offer families in-person, video or telephone sessions in order to best meet their needs. MentalHealthMatters We can help! ",1
165,"New blog following an extended – and well-needed – proper break. Hope it resonates with a few of you, especially around feast & famine and feeling overwhelmed as a freelancer raised fist freelancelife mentalhealth purpose comms ",1
166,"Today we will talk about overdose due to alcohol, depressants, stimulants, and other drugs at 2.30-3.00 pm in “Hablando de Salud mental”. Don’t miss it! OverdoseAwarenessDay MentalHealthMatters ",1
167,The chronic stress survival guide how to live with the anxiety and grief you can’t escape mentalhealth stress anxiety grief selfcare,1
168,Adding some flowers. Went out at 5 30am to get some exercise. It was already 28 degrees. Came home at 7 00am because it was already too hot to be outside. My head has been pulled back into the bariatric clinic BS. Here we go again. IntrusiveThoughts Compulsions MentalHealth ,1
169,"I'm sad to tweet my LastTweet as the CDC . I could never thank everyone who supported career development & helped make my time here a success. However, I Appreciate each of you & I will cherish the GreatGarnerMemories. I'm Excited to join as their IMC! ",1
170,I’m grumpy this morning…my human sister got me up really early and then made me wait until 8am for my breakfast! I’m going to sulk for a bit longer! dog dogsoftwitter Tired grumpy Wednesdayvibe dogoftheday ,1
171,Tongue out Tuesday and Drunken Sailor . . . oreo cookie napping sharing tired brothers tot drunken sailor funny dunno cute tuesdayvibe baby bulldogs DogsofTwittter ,0
172,"Sharing our student MH resources again helplines, websites & other support Transition to university can be tough, especially when thisyear's new students spent so much of their A-Level years in lockdown youngminds stress anxiety studentwellbeing ",1
173,"YourHostNick Man, that broadcast they had yesterday hyped me up. I'm personally not a fan of horror games but these were great. The part where they explained the limb destruction according to which wagon you used was *chef's kiss* to me. excited",0
174,Still time to join my online hypnotherapy courses for weightloss and resilience. A great way to try Hypnosis at an affordable price. See derbyshire buxton chesterfield marple stockport anxiety SeptemberIsTomorrow stress mentalhealth newstart ,1
175,"The marriage, the kids, the job, this pandemic, the state of the world - when all of it begins to wear on you, what do you do? David talks about when your soul gets weak... podcast faith Church TuesdayMotivations Tuesday tired prayer family",1
176,Tips to stop smoking zyban champix patches lung cancer emphysema COPD breathe breath stress anxiety socialanxiety heartdisease stroke asthma fertility impotence premature birth sexual problems diabetes habit ,1
177,That’s what this iSLEEPY Shit about Tired of Money being the Reason we Sacrifice & Sell EachOther out Exhausted actually Knowin Money Really the Root of All Evil & the Proof in People Everyday Actions Niggas Worship whoever got More Money than them SMH This Shit SAD AF G.O.D,1
178,Vic Libs and right wing media are trying to portray presentations to ED and calls to lifeline as something negative. The fact that people are actively seeking help rather than harming themselves is an incredible strength. springst MentalHealth,1
179,I want to brave enough to ask for help with my anxiety depression MentalHealthMatters as I’m just existing and it is not enough to carry on the fight,0
180,Happy Labor Day - Your deserve some relaxing vibrations... phsinternational HappyLaborDay love like instagood follow happy beautiful cute life art music style nature followme smile beauty travel likes friends fun ,0
181,Stressed out? Read on the healthy ways to cope with Stress and a lot more trusted health information. Free health information for all. FreeHealthRevolution Please share with your friends.. Retweet domains Freddie Mercury Martinsville 7 par…,0
182,I mean it is great to work... but I mean... I'm kinda tired,1
